Date,Open,High,Low,Close,Volume
1993-04-27 00:00:00,0.9109,0.9109,0.9109,0.9109,1
1993-04-28 00:00:00,0.9068,0.9068,0.9068,0.9068,1
1993-04-29 00:00:00,0.904,0.904,0.904,0.904,1
1993-04-30 00:00:00,0.899,0.899,0.899,0.899,1
1993-05-03 00:00:00,0.8955,0.8955,0.8955,0.8955,1
1993-05-04 00:00:00,0.888,0.888,0.888,0.888,1
1993-05-05 00:00:00,0.8957,0.8957,0.8957,0.8957,1
1993-05-06 00:00:00,0.8958,0.8958,0.8958,0.8958,1
1993-05-07 00:00:00,0.9003,0.9003,0.9003,0.9003,1
1993-05-10 00:00:00,0.8916,0.8916,0.8916,0.8916,1
1993-05-11 00:00:00,0.8958,0.8958,0.8958,0.8958,1
1993-05-12 00:00:00,0.8946,0.8946,0.8946,0.8946,1
1993-05-13 00:00:00,0.8954,0.8954,0.8954,0.8954,1
1993-05-14 00:00:00,0.8965,0.8965,0.8965,0.8965,1
1993-05-17 00:00:00,0.8959,0.8959,0.8959,0.8959,1
1993-05-18 00:00:00,0.8781,0.8781,0.8781,0.8781,1
1993-05-19 00:00:00,0.8745,0.8745,0.8745,0.8745,1
1993-05-20 00:00:00,0.8821,0.8821,0.8821,0.8821,1
1993-05-21 00:00:00,0.8795,0.8795,0.8795,0.8795,1
1993-05-24 00:00:00,0.8761,0.8761,0.8761,0.8761,1
1993-05-25 00:00:00,0.8833,0.8833,0.8833,0.8833,1
1993-05-26 00:00:00,0.8828,0.8828,0.8828,0.8828,1
1993-05-27 00:00:00,0.8774,0.8774,0.8774,0.8774,1
1993-05-28 00:00:00,0.8748,0.8748,0.8748,0.8748,1
1993-05-31 00:00:00,0.8626,0.8626,0.8626,0.8626,1
1993-06-01 00:00:00,0.8623,0.8623,0.8623,0.8623,1
1993-06-02 00:00:00,0.8611,0.8611,0.8611,0.8611,1
1993-06-03 00:00:00,0.8682,0.8682,0.8682,0.8682,1
1993-06-04 00:00:00,0.8643,0.8643,0.8643,0.8643,1
1993-06-07 00:00:00,0.8625,0.8625,0.8625,0.8625,1
1993-06-08 00:00:00,0.8592,0.8592,0.8592,0.8592,1
1993-06-09 00:00:00,0.8643,0.8643,0.8643,0.8643,1
1993-06-10 00:00:00,0.8664,0.8664,0.8664,0.8664,1
1993-06-11 00:00:00,0.8701,0.8701,0.8701,0.8701,1
1993-06-14 00:00:00,0.8639,0.8639,0.8639,0.8639,1
1993-06-15 00:00:00,0.8675,0.8675,0.8675,0.8675,1
1993-06-16 00:00:00,0.8657,0.8657,0.8657,0.8657,1
1993-06-17 00:00:00,0.8588,0.8588,0.8588,0.8588,1
1993-06-18 00:00:00,0.8631,0.8631,0.8631,0.8631,1
1993-06-21 00:00:00,0.8726,0.8726,0.8726,0.8726,1
1993-06-22 00:00:00,0.8736,0.8736,0.8736,0.8736,1
1993-06-23 00:00:00,0.8638,0.8638,0.8638,0.8638,1
1993-06-24 00:00:00,0.8579,0.8579,0.8579,0.8579,1
1993-06-25 00:00:00,0.861,0.861,0.861,0.861,1
1993-06-28 00:00:00,0.8568,0.8568,0.8568,0.8568,1
1993-06-29 00:00:00,0.8587,0.8587,0.8587,0.8587,1
1993-06-30 00:00:00,0.8533,0.8533,0.8533,0.8533,1
1993-07-01 00:00:00,0.8622,0.8622,0.8622,0.8622,1
1993-07-02 00:00:00,0.8652,0.8652,0.8652,0.8652,1
1993-07-05 00:00:00,0.8698,0.8698,0.8698,0.8698,1
1993-07-06 00:00:00,0.8709,0.8709,0.8709,0.8709,1
1993-07-07 00:00:00,0.8733,0.8733,0.8733,0.8733,1
1993-07-08 00:00:00,0.8668,0.8668,0.8668,0.8668,1
1993-07-09 00:00:00,0.8706,0.8706,0.8706,0.8706,1
1993-07-12 00:00:00,0.8688,0.8688,0.8688,0.8688,1
1993-07-13 00:00:00,0.8676,0.8676,0.8676,0.8676,1
1993-07-14 00:00:00,0.8687,0.8687,0.8687,0.8687,1
1993-07-15 00:00:00,0.8728,0.8728,0.8728,0.8728,1
1993-07-16 00:00:00,0.8684,0.8684,0.8684,0.8684,1
1993-07-19 00:00:00,0.8645,0.8645,0.8645,0.8645,1
1993-07-20 00:00:00,0.868,0.868,0.868,0.868,1
1993-07-21 00:00:00,0.8653,0.8653,0.8653,0.8653,1
1993-07-22 00:00:00,0.8648,0.8648,0.8648,0.8648,1
1993-07-23 00:00:00,0.8704,0.8704,0.8704,0.8704,1
1993-07-26 00:00:00,0.8704,0.8704,0.8704,0.8704,1
1993-07-27 00:00:00,0.8689,0.8689,0.8689,0.8689,1
1993-07-28 00:00:00,0.8701,0.8701,0.8701,0.8701,1
1993-07-29 00:00:00,0.8777,0.8777,0.8777,0.8777,1
1993-07-30 00:00:00,0.8874,0.8874,0.8874,0.8874,1
1993-08-02 00:00:00,0.8922,0.8922,0.8922,0.8922,1
1993-08-03 00:00:00,0.8909,0.8909,0.8909,0.8909,1
1993-08-04 00:00:00,0.888,0.888,0.888,0.888,1
1993-08-05 00:00:00,0.8798,0.8798,0.8798,0.8798,1
1993-08-06 00:00:00,0.8807,0.8807,0.8807,0.8807,1
1993-08-09 00:00:00,0.8811,0.8811,0.8811,0.8811,1
1993-08-10 00:00:00,0.8879,0.8879,0.8879,0.8879,1
1993-08-11 00:00:00,0.8932,0.8932,0.8932,0.8932,1
1993-08-12 00:00:00,0.8881,0.8881,0.8881,0.8881,1
1993-08-13 00:00:00,0.8899,0.8899,0.8899,0.8899,1
1993-08-16 00:00:00,0.8919,0.8919,0.8919,0.8919,1
1993-08-17 00:00:00,0.8862,0.8862,0.8862,0.8862,1
1993-08-18 00:00:00,0.8942,0.8942,0.8942,0.8942,1
1993-08-19 00:00:00,0.8949,0.8949,0.8949,0.8949,1
1993-08-20 00:00:00,0.8917,0.8917,0.8917,0.8917,1
1993-08-23 00:00:00,0.8818,0.8818,0.8818,0.8818,1
1993-08-24 00:00:00,0.8827,0.8827,0.8827,0.8827,1
1993-08-25 00:00:00,0.8839,0.8839,0.8839,0.8839,1
1993-08-26 00:00:00,0.8805,0.8805,0.8805,0.8805,1
1993-08-27 00:00:00,0.8798,0.8798,0.8798,0.8798,1
1993-08-30 00:00:00,0.8871,0.8871,0.8871,0.8871,1
1993-08-31 00:00:00,0.8887,0.8887,0.8887,0.8887,1
1993-09-01 00:00:00,0.8855,0.8855,0.8855,0.8855,1
1993-09-02 00:00:00,0.8697,0.8697,0.8697,0.8697,1
1993-09-03 00:00:00,0.8619,0.8619,0.8619,0.8619,1
1993-09-06 00:00:00,0.8615,0.8615,0.8615,0.8615,1
1993-09-07 00:00:00,0.8596,0.8596,0.8596,0.8596,1
1993-09-08 00:00:00,0.8676,0.8676,0.8676,0.8676,1
1993-09-09 00:00:00,0.8621,0.8621,0.8621,0.8621,1
1993-09-10 00:00:00,0.8542,0.8542,0.8542,0.8542,1
1993-09-13 00:00:00,0.8564,0.8564,0.8564,0.8564,1
1993-09-14 00:00:00,0.853,0.853,0.853,0.853,1
1993-09-15 00:00:00,0.8524,0.8524,0.8524,0.8524,1
1993-09-16 00:00:00,0.8555,0.8555,0.8555,0.8555,1
1993-09-17 00:00:00,0.8575,0.8575,0.8575,0.8575,1
1993-09-20 00:00:00,0.8607,0.8607,0.8607,0.8607,1
1993-09-21 00:00:00,0.8664,0.8664,0.8664,0.8664,1
1993-09-22 00:00:00,0.8649,0.8649,0.8649,0.8649,1
1993-09-23 00:00:00,0.866,0.866,0.866,0.866,1
1993-09-24 00:00:00,0.8646,0.8646,0.8646,0.8646,1
1993-09-27 00:00:00,0.8609,0.8609,0.8609,0.8609,1
1993-09-28 00:00:00,0.8575,0.8575,0.8575,0.8575,1
1993-09-29 00:00:00,0.8589,0.8589,0.8589,0.8589,1
1993-09-30 00:00:00,0.8618,0.8618,0.8618,0.8618,1
1993-10-01 00:00:00,0.8659,0.8659,0.8659,0.8659,1
